Fin,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts,race_name,date,year,track,laps,track_len,caution_cnt,caution_laps,race_dur,avg_speed,pole_speed,margin,lead_changes,PPts
1,31,21,   Kevin Harvick ,AutoZone   (Richard Childress),Chevrolet,120,"116,200",running,42,190,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
2,11,32,   Dave Blaney ,Fan1st.com   (Todd Braun),Toyota,120,"90,550",running,0,170,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
3,6,60,   Carl Edwards ,Scott's   (Jack Roush),Ford,120,"77,450",running,10,170,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
4,26,2,   Clint Bowyer ,BB&T   (Richard Childress),Chevrolet,120,"62,550",running,3,165,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
5,8,6,   Mark Martin ,Dish Network   (Jack Roush),Ford,120,"58,000",running,0,155,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
6,4,11,"   Martin Truex, Jr. ","Bass Pro Shops / Tracker   (Dale Earnhardt, Inc.)",Chevrolet,120,"53,450",running,5,155,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
7,20,8,"   Dale Earnhardt, Jr. ","Menards / Johns Manville   (Dale Earnhardt, Inc.)",Chevrolet,120,"56,575",running,8,151,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
8,38,33,   Tony Stewart ,Old Spice   (Kevin Harvick),Chevrolet,120,"50,300",running,0,142,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
9,15,20,   Denny Hamlin ,Rockwell Automation   (Joe Gibbs),Chevrolet,120,"54,250",running,0,138,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
10,9,26,   Greg Biffle ,Oreo Double Stuf   (Jack Roush),Ford,120,"49,025",running,0,134,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
