Driver,Start,Mid Race,Finish,High Pos.,Low Pos.,Avg. Pos.,Pass Diff.,Green Flag Passes,Green Flag Times Passed,Quality Passes,Pct. Quality Passes,Fastest Lap,Top 15 Laps,Pct. Top 15 Laps,Laps Led,Pct. Laps Led,Total Laps,DRIVER RATING,race_name,year,race_num
Kevin Harvick,34,7,1,1,37,10,12,244,232,163,66.8,7,171,84.7,4,2.0,202,109.0,2007_Daytona_500,2007,1
Mark Martin,26,14,2,1,33,12,5,163,158,108,66.3,2,161,79.7,26,12.9,202,101.3,2007_Daytona_500,2007,1
Jeff Burton,7,4,3,3,22,10,7,217,210,203,93.5,4,174,86.1,0,0.0,202,109.3,2007_Daytona_500,2007,1
Mike Wallace,22,39,4,4,42,34,12,187,175,33,17.6,1,17,8.4,0,0.0,202,55.8,2007_Daytona_500,2007,1
David Ragan,35,36,5,5,43,34,-3,159,162,29,18.2,2,11,5.4,0,0.0,202,52.4,2007_Daytona_500,2007,1
Elliott Sadler,30,33,6,3,39,23,15,205,190,95,46.3,2,52,25.7,0,0.0,202,77.9,2007_Daytona_500,2007,1
Kasey Kahne,28,24,7,7,40,23,-3,240,243,7,2.9,4,1,0.5,0,0.0,202,69.8,2007_Daytona_500,2007,1
David Gilliland,1,40,8,1,42,21,24,143,119,64,44.8,13,101,50.0,18,8.9,202,90.7,2007_Daytona_500,2007,1
Joe Nemechek,18,30,9,9,41,30,5,138,133,34,24.6,5,18,8.9,0,0.0,202,63.0,2007_Daytona_500,2007,1
Jeff Gordon,42,11,10,7,38,21,20,290,270,97,33.4,1,44,21.8,0,0.0,202,71.6,2007_Daytona_500,2007,1
David Stremme,6,6,11,2,27,10,23,264,241,229,86.7,6,186,92.1,0,0.0,202,97.1,2007_Daytona_500,2007,1
J.J. Yeley,12,38,12,9,43,30,10,185,175,12,6.5,3,4,2.0,0,0.0,202,64.5,2007_Daytona_500,2007,1
Reed Sorenson,33,17,13,3,43,20,37,201,164,69,34.3,3,69,34.2,0,0.0,202,76.8,2007_Daytona_500,2007,1
Boris Said,23,34,14,12,43,29,-16,205,221,22,10.7,0,10,5.0,0,0.0,202,64.6,2007_Daytona_500,2007,1
Robby Gordon,39,28,15,15,43,33,-12,123,135,0,0.0,8,1,0.5,0,0.0,202,57.3,2007_Daytona_500,2007,1
Johnny Sauter,41,21,16,4,41,17,32,243,211,112,46.1,11,105,52.0,0,0.0,202,88.0,2007_Daytona_500,2007,1
Sterling Marlin,38,25,17,12,42,28,-3,199,202,7,3.5,3,6,3.0,0,0.0,202,58.5,2007_Daytona_500,2007,1
Clint Bowyer,11,18,18,4,40,22,-8,191,199,90,47.1,11,63,31.2,0,0.0,202,74.7,2007_Daytona_500,2007,1
Juan Pablo Montoya,36,29,19,7,42,32,6,164,158,0,0.0,4,2,1.0,0,0.0,202,45.7,2007_Daytona_500,2007,1
Casey Mears,17,16,20,4,39,21,19,246,227,82,33.3,2,37,18.3,0,0.0,202,61.1,2007_Daytona_500,2007,1
Bobby Labonte,27,27,21,14,39,28,-18,203,221,7,3.4,2,2,1.0,0,0.0,202,52.3,2007_Daytona_500,2007,1
Dale Jarrett,43,35,22,7,43,30,-18,112,130,0,0.0,1,2,1.0,0,0.0,202,50.9,2007_Daytona_500,2007,1
Carl Edwards,14,8,23,2,39,12,24,279,255,215,77.1,5,164,81.2,0,0.0,202,88.1,2007_Daytona_500,2007,1
Kyle Busch,8,2,24,1,25,5,-19,165,184,164,99.4,4,201,99.5,4,2.0,202,102.4,2007_Daytona_500,2007,1
Greg Biffle,25,15,25,2,35,15,-18,179,197,121,67.6,1,111,55.0,0,0.0,202,68.8,2007_Daytona_500,2007,1
Ricky Rudd,2,13,26,2,33,15,-26,275,301,160,58.2,4,111,55.0,0,0.0,202,73.8,2007_Daytona_500,2007,1
Matt Kenseth,10,9,27,1,36,9,-13,249,262,215,86.3,9,190,94.1,6,3.0,202,93.5,2007_Daytona_500,2007,1
Denny Hamlin,9,5,28,1,37,15,1,172,171,125,72.7,3,114,56.4,0,0.0,201,72.4,2007_Daytona_500,2007,1
"Martin Truex, Jr.",13,10,29,1,29,11,-13,218,231,180,82.6,7,169,83.7,13,6.4,201,84.7,2007_Daytona_500,2007,1
Michael Waltrip,15,41,30,4,43,37,-24,52,76,10,19.2,1,4,2.0,0,0.0,200,32.5,2007_Daytona_500,2007,1
Jamie McMurray,24,19,31,2,36,19,-6,222,228,108,48.6,1,44,21.8,0,0.0,195,66.6,2007_Daytona_500,2007,1
"Dale Earnhardt, Jr.",5,31,32,3,35,13,-35,194,229,148,76.3,7,152,75.2,0,0.0,195,73.2,2007_Daytona_500,2007,1
Tony Raines,20,26,33,17,39,27,-25,153,178,0,0.0,0,0,0.0,0,0.0,195,49.4,2007_Daytona_500,2007,1
Dave Blaney,37,23,34,14,36,26,17,208,191,0,0.0,3,3,1.5,0,0.0,186,50.4,2007_Daytona_500,2007,1
Ken Schrader,19,22,35,10,41,26,-32,181,213,13,7.2,2,5,2.5,0,0.0,185,52.1,2007_Daytona_500,2007,1
